ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_dc6d-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
582091.72,13.97,1.28,306301.47,7.35
581928.98,13.97,1.28,306178.69,7.35
581783.07,13.97,1.28,306921.12,7.37
582097.56,13.98,1.29,306894.63,7.37
582221.35,13.99,1.3,306832.25,7.37
582249.06,13.99,1.3,306301.87,7.36
582086.32,13.99,1.3,306095.68,7.36
582096.0,13.99,1.3,305958.46,7.36
582081.16,14.0,1.3,306932.96,7.38
581939.46,14.0,1.3,307297.47,7.39
581961.28,14.0,1.31,307150.11,7.39
582256.52,14.01,1.32,306939.78,7.38
582075.27,14.01,1.31,307463.51,7.4
581696.74,14.0,1.31,307069.45,7.39
581527.75,14.0,1.31,306865.45,7.39
581772.77,14.01,1.31,307184.35,7.4
581741.76,14.01,1.32,308337.95,7.43
581865.56,14.02,1.32,308252.14,7.42
581891.58,14.02,1.33,308444.86,7.43
581297.83,14.02,1.33,308098.07,7.43
580282.45,14.02,1.33,307640.11,7.43
579903.92,14.01,1.32,307455.04,7.43
579875.62,14.01,1.32,306935.99,7.42
579875.62,14.01,1.32,306935.99,7.42
578860.24,14.02,1.33,306452.51,7.42
578860.24,14.02,1.33,306452.51,7.42
578537.98,14.01,1.32,306024.61,7.41
579100.3,14.03,1.34,306088.5,7.41
578937.56,14.03,1.34,305800.81,7.41
578774.82,14.03,1.33,306129.85,7.42
578417.33,14.02,1.33,305931.45,7.42
578250.38,14.02,1.33,305703.64,7.41
578454.34,14.03,1.33,306292.26,7.43
578293.28,14.03,1.33,306139.25,7.43
578293.28,14.03,1.33,306139.25,7.43
578293.28,14.03,1.33,306139.25,7.43
578336.67,14.03,1.34,306610.23,7.44
578047.39,14.02,1.33,306287.31,7.43
577951.48,14.03,1.33,306484.81,7.44
578036.7,14.03,1.34,306449.2,7.44
577799.39,14.03,1.33,306112.17,7.43
577923.19,14.03,1.34,306144.36,7.43
577597.7,14.03,1.34,306100.5,7.44
577277.7,14.03,1.33,305780.5,7.43
577534.24,14.03,1.34,305579.8,7.43
577427.03,14.03,1.34,305496.12,7.43
577245.78,14.03,1.34,305880.85,7.44
577076.79,14.03,1.34,305603.83,7.43
576883.28,14.03,1.34,305738.17,7.44
576687.95,14.03,1.34,305532.64,7.43
576474.0,14.02,1.33,305318.7,7.43
576474.0,14.02,1.33,305318.7,7.43
576597.8,14.03,1.34,305366.4,7.43
576966.31,14.04,1.35,305122.31,7.42
576966.31,14.04,1.35,305122.31,7.42
576803.57,14.04,1.35,305038.67,7.42
576803.57,14.04,1.35,305038.67,7.42
576640.83,14.04,1.35,305136.28,7.43
576722.38,14.04,1.35,305045.47,7.43
576541.13,14.04,1.35,305374.01,7.44
576541.13,14.04,1.35,305374.01,7.44
576372.14,14.04,1.35,305363.23,7.44
576178.63,14.04,1.35,305404.49,7.44
576302.43,14.05,1.35,305477.49,7.45
576193.14,14.04,1.35,305522.34,7.45
576468.93,14.05,1.36,305310.7,7.44
576306.19,14.05,1.36,305548.46,7.45
576160.27,14.05,1.36,305155.33,7.44
576036.24,14.05,1.36,305246.93,7.45
576043.75,14.06,1.36,305126.92,7.45
575874.76,14.06,1.36,305651.83,7.46
575681.25,14.05,1.36,305519.41,7.46
575483.24,14.05,1.36,305275.58,7.45
575253.35,14.05,1.35,305120.51,7.45
575565.91,14.06,1.36,305220.73,7.45
575403.17,14.06,1.36,305023.96,7.45
575771.68,14.07,1.37,305247.53,7.46
575547.74,14.06,1.37,305065.89,7.45
575401.82,14.06,1.37,304802.24,7.45
575000.57,14.05,1.36,305038.04,7.45
574876.54,14.05,1.36,304771.68,7.45
574695.29,14.05,1.36,304581.45,7.45
574695.29,14.05,1.36,304581.45,7.45
574526.3,14.05,1.36,304955.65,7.46
574332.79,14.05,1.36,304743.87,7.45
574456.58,14.06,1.36,304791.57,7.46
574456.58,14.06,1.36,304791.57,7.46
574293.84,14.06,1.36,304560.39,7.45
574131.1,14.06,1.36,304439.48,7.45
573985.19,14.06,1.36,304721.75,7.46
574049.92,14.06,1.37,304462.12,7.46
573868.67,14.06,1.37,304382.85,7.46
573699.68,14.06,1.37,304658.98,7.47
573506.17,14.06,1.36,304437.94,7.46
572490.78,14.06,1.37,303954.47,7.46
572614.58,14.07,1.37,303935.39,7.47
572833.85,14.07,1.38,303700.59,7.46
572725.08,14.07,1.38,303592.39,7.46
572725.08,14.07,1.38,303592.39,7.46
572562.34,14.07,1.38,303925.31,7.47
572416.43,14.07,1.38,303677.58,7.46
572292.39,14.07,1.38,303961.74,7.47
572000.38,14.06,1.37,303738.01,7.47
572350.38,14.07,1.38,304166.47,7.48
572191.49,14.07,1.38,304066.51,7.48
571827.06,14.08,1.39,303790.74,7.48
571623.46,14.08,1.38,303671.48,7.48
571303.46,14.07,1.38,303351.48,7.47
570288.07,14.07,1.38,302893.51,7.47
570180.86,14.07,1.38,303091.18,7.48
569999.61,14.07,1.38,302938.49,7.48
569830.62,14.07,1.38,302812.76,7.48
569791.68,14.08,1.39,302547.61,7.48
568776.3,14.08,1.39,302064.14,7.48
568613.56,14.08,1.39,302388.22,7.49
567993.36,14.08,1.39,301947.26,7.48
567993.36,14.08,1.39,301947.26,7.48
567988.62,14.08,1.39,302033.54,7.49
567666.01,14.08,1.38,301747.15,7.48
566650.62,14.08,1.39,301263.68,7.48
566650.62,14.08,1.39,301263.68,7.48
566785.11,14.08,1.39,301492.77,7.49
567097.68,14.09,1.4,301592.99,7.5
566772.2,14.09,1.4,301290.41,7.49
566609.46,14.09,1.4,301465.07,7.5
566311.46,14.09,1.39,301164.53,7.49
566204.25,14.09,1.39,300921.92,7.49
566211.76,14.09,1.4,300838.06,7.49
566211.76,14.09,1.4,300838.06,7.49
566231.54,14.09,1.4,301399.13,7.5
566038.03,14.09,1.4,301244.62,7.5
566161.83,14.1,1.41,301292.33,7.5
565999.09,14.1,1.41,301085.1,7.5
565836.35,14.1,1.41,300940.24,7.5
565690.43,14.1,1.41,301271.18,7.51
565755.16,14.1,1.41,300961.25,7.5
565573.91,14.1,1.41,301296.12,7.51
565534.97,14.11,1.41,301030.97,7.51
565365.98,14.11,1.41,300673.68,7.5
565610.99,14.11,1.42,301140.55,7.51
564595.61,14.12,1.42,300657.08,7.52
564449.19,14.11,1.42,300457.19,7.51
564475.21,14.12,1.43,300822.96,7.52
564475.21,14.12,1.43,300822.96,7.52
564767.82,14.13,1.43,300643.87,7.52
564643.79,14.13,1.43,300444.11,7.52
564486.25,14.12,1.43,300285.15,7.51
564305.0,14.12,1.43,300782.88,7.53
564324.78,14.13,1.43,300207.08,7.51
563309.39,14.13,1.44,299723.61,7.52
563309.39,14.13,1.44,299723.61,7.52
563115.88,14.13,1.44,300408.54,7.54
563239.68,14.13,1.44,300402.05,7.54
563265.71,14.14,1.45,300202.2,7.54
563430.97,14.14,1.45,300486.54,7.54
563456.99,14.15,1.46,300350.72,7.54
563168.53,14.15,1.46,300073.39,7.54
562999.54,14.15,1.45,300670.71,7.56
562701.54,14.14,1.45,300192.03,7.54
562836.03,14.15,1.45,300652.68,7.56
562959.83,14.15,1.46,300836.24,7.56
562364.4,14.15,1.46,300404.34,7.56
562183.15,14.15,1.46,300286.66,7.56
562014.16,14.15,1.46,300376.3,7.56
561820.65,14.15,1.46,300169.21,7.56
561944.45,14.16,1.46,300242.21,7.56
561781.71,14.16,1.46,300008.5,7.56
561618.97,14.15,1.46,300188.87,7.57
561456.22,14.15,1.46,299996.94,7.56
560440.84,14.16,1.47,299513.47,7.57
559425.46,14.16,1.47,299030.0,7.57
559318.24,14.16,1.47,298908.63,7.57
559325.76,14.16,1.47,298837.77,7.57
559156.77,14.16,1.47,299066.71,7.58
558963.26,14.16,1.47,298883.44,7.57
559087.06,14.17,1.48,298901.84,7.58
558924.32,14.17,1.48,298698.78,7.57
558924.32,14.17,1.48,298698.78,7.57
558545.79,14.16,1.47,298283.3,7.56
558404.09,14.16,1.47,298563.51,7.57
557388.7,14.16,1.47,298080.04,7.57
557221.76,14.16,1.47,297825.25,7.57
557221.76,14.16,1.47,297825.25,7.57
556206.37,14.17,1.47,297341.78,7.57
556271.1,14.17,1.48,297195.87,7.57
556089.85,14.17,1.48,297597.0,7.58
555961.6,14.17,1.48,297340.21,7.58
554946.22,14.17,1.48,296856.74,7.58
553930.84,14.18,1.48,296373.27,7.58
553930.84,14.18,1.48,296373.27,7.58
553696.58,14.17,1.48,296239.37,7.58
553820.38,14.18,1.49,296177.0,7.58
553661.61,14.18,1.48,296018.09,7.58
553498.87,14.18,1.48,295811.9,7.58
553190.22,14.18,1.48,296098.8,7.59
552978.11,14.17,1.48,295922.4,7.58
552854.08,14.17,1.48,295829.44,7.58
553000.82,14.18,1.49,295630.17,7.58
552831.83,14.18,1.48,295920.05,7.59
552660.33,14.18,1.48,295770.59,7.59
553222.65,14.19,1.5,295843.41,7.59
552854.12,14.18,1.49,295540.35,7.58
552691.38,14.18,1.49,295885.6,7.59
552393.38,14.18,1.49,295554.63,7.59
552419.41,14.18,1.49,295382.15,7.58
551404.03,14.18,1.49,294898.68,7.59
551241.29,14.18,1.49,294761.4,7.58
551241.29,14.18,1.49,294761.4,7.58
551134.07,14.18,1.49,294942.51,7.59
550952.82,14.18,1.49,294686.97,7.59
551222.36,14.19,1.5,294591.87,7.58
550206.97,14.2,1.5,294108.4,7.59
550202.23,14.2,1.51,294869.71,7.61
550326.03,14.2,1.51,294917.41,7.61
550163.29,14.2,1.51,294624.53,7.61
550000.55,14.2,1.51,294912.93,7.62
550026.57,14.21,1.52,294759.06,7.61
549766.88,14.2,1.51,294503.14,7.61
549659.67,14.2,1.51,294394.54,7.61
549659.67,14.2,1.51,294394.54,7.61
549478.42,14.2,1.51,294249.29,7.61
549747.95,14.21,1.52,294849.3,7.62
549743.21,14.21,1.52,294930.41,7.63
549743.21,14.21,1.52,294930.41,7.63
549867.01,14.22,1.53,294978.11,7.63
549893.04,14.22,1.53,294808.21,7.63
549730.3,14.22,1.53,294632.83,7.62
549567.56,14.22,1.53,294884.61,7.63
549649.11,14.23,1.54,294790.4,7.63
549467.86,14.23,1.53,294576.24,7.63
549321.44,14.22,1.53,294375.63,7.62
549152.45,14.22,1.53,294774.56,7.63
548958.94,14.22,1.53,294603.95,7.63
549082.74,14.23,1.54,294651.66,7.64
549082.74,14.23,1.54,294651.66,7.64
549082.74,14.23,1.54,294651.66,7.64
548920.0,14.23,1.54,294466.55,7.63
548657.89,14.22,1.53,294275.71,7.63
548495.15,14.22,1.53,294108.73,7.63
548495.15,14.22,1.53,294108.73,7.63
548521.18,14.23,1.53,294394.25,7.64
548413.97,14.23,1.53,294262.59,7.63
548232.72,14.23,1.53,294073.4,7.63
548665.29,14.24,1.55,294665.11,7.65
548471.78,14.24,1.54,294681.24,7.65
548595.58,14.24,1.55,294885.22,7.66
548432.84,14.24,1.55,294690.65,7.65
548270.1,14.24,1.55,294483.09,7.65
548107.36,14.24,1.55,294406.85,7.65
548188.91,14.25,1.55,294582.19,7.66
548007.66,14.25,1.55,294344.9,7.65
548027.44,14.25,1.56,294289.66,7.65
547833.93,14.25,1.56,294575.43,7.66
547833.93,14.25,1.56,294575.43,7.66
547524.47,14.24,1.55,294255.82,7.65
547837.04,14.25,1.56,294356.04,7.66
547863.06,14.26,1.56,294177.12,7.66
548210.46,14.27,1.57,294370.76,7.66
548210.46,14.27,1.57,294370.76,7.66
548047.72,14.27,1.57,294185.84,7.66
547940.5,14.27,1.58,293990.2,7.65
547759.25,14.27,1.57,294447.3,7.67
547759.25,14.27,1.57,294447.3,7.67
547590.26,14.27,1.57,294248.86,7.67
547239.09,14.26,1.57,293928.57,7.66
547239.09,14.26,1.57,293928.57,7.66
547234.35,14.26,1.57,294497.88,7.67
546869.93,14.27,1.57,294222.12,7.68
546762.71,14.27,1.58,294397.0,7.68
545747.33,14.27,1.58,293913.53,7.69
545525.23,14.27,1.57,293738.26,7.68
545343.98,14.26,1.57,293568.08,7.68
545174.99,14.26,1.57,293447.76,7.68
544981.48,14.26,1.57,293381.18,7.68
544981.48,14.26,1.57,293381.18,7.68
545105.27,14.27,1.58,293413.37,7.68
544942.53,14.27,1.58,293112.61,7.68
544779.79,14.27,1.58,293428.52,7.69
544805.82,14.27,1.58,293272.07,7.68
545300.17,14.29,1.59,293112.84,7.68
545300.17,14.29,1.59,293112.84,7.68
545145.41,14.28,1.59,293463.26,7.69
544768.61,14.27,1.58,293307.11,7.69
545025.88,14.28,1.59,293146.53,7.68
544950.16,14.29,1.59,294035.22,7.71
545073.96,14.29,1.6,294108.22,7.71
545349.74,14.3,1.61,293896.59,7.71
545349.74,14.3,1.61,293896.59,7.71
545187.0,14.3,1.61,294134.08,7.72
544917.05,14.3,1.61,293835.98,7.71
544735.8,14.3,1.61,294146.1,7.72
543720.42,14.3,1.61,293662.63,7.73
543740.19,14.31,1.61,293637.17,7.73
543546.68,14.31,1.61,293624.7,7.73
543670.48,14.31,1.62,293672.4,7.73
543507.74,14.31,1.62,293487.3,7.73
543533.77,14.32,1.62,293327.12,7.73
543387.85,14.32,1.62,293627.5,7.74
543452.58,14.32,1.63,293498.0,7.73
543074.06,14.31,1.62,293189.96,7.73
543331.33,14.32,1.63,293023.02,7.72
543162.34,14.32,1.63,293685.94,7.74
542803.91,14.31,1.62,293067.52,7.73
542803.91,14.31,1.62,293067.52,7.73
542928.31,14.32,1.63,293615.56,7.74
543380.1,14.33,1.64,293642.65,7.75
543380.1,14.33,1.64,293642.65,7.75
543054.62,14.33,1.64,293323.71,7.74
543338.68,14.34,1.65,293713.7,7.75
543231.47,14.34,1.65,293512.6,7.75
543050.22,14.34,1.65,293300.43,7.75
543209.23,14.35,1.66,294338.17,7.77
543204.48,14.35,1.66,294433.69,7.78
542996.49,14.35,1.65,294217.62,7.77
543120.28,14.35,1.66,294290.62,7.78
543120.28,14.35,1.66,294290.62,7.78
543120.28,14.35,1.66,294290.62,7.78
542743.49,14.34,1.65,293825.09,7.77
542908.74,14.35,1.66,293554.96,7.76
542746.0,14.35,1.66,293460.24,7.76
543038.61,14.36,1.67,293940.57,7.77
543038.61,14.36,1.67,293940.57,7.77
542660.09,14.35,1.66,293674.96,7.77
542864.05,14.36,1.67,293472.89,7.76
542702.99,14.36,1.67,294697.54,7.8
542712.67,14.36,1.67,294349.12,7.79
542554.3,14.36,1.67,294218.62,7.79
541538.92,14.37,1.67,293735.15,7.79
541240.92,14.36,1.67,293521.56,7.79
541364.72,14.37,1.67,293524.51,7.79
541201.98,14.37,1.67,293311.82,7.79
540993.98,14.36,1.67,293096.67,7.78
541440.61,14.37,1.68,293466.4,7.79
541274.23,14.37,1.68,293189.07,7.78
541296.05,14.37,1.68,293009.05,7.78
540628.26,14.37,1.68,293441.12,7.8
540628.26,14.37,1.68,293441.12,7.8
540752.06,14.38,1.69,293424.78,7.8
540589.32,14.38,1.69,293216.97,7.8
540447.62,14.38,1.69,293157.77,7.8
540280.67,14.38,1.69,293638.31,7.81
540345.4,14.38,1.69,293149.59,7.8
540063.44,14.38,1.68,292837.41,7.8
540210.18,14.38,1.69,293500.56,7.81
540081.94,14.38,1.69,293389.3,7.81
540036.45,14.39,1.69,293281.24,7.81
539997.51,14.39,1.7,293142.01,7.81
540273.29,14.4,1.71,292995.84,7.81
539993.73,14.4,1.7,293350.66,7.82
539785.73,14.39,1.7,293213.85,7.82
539639.82,14.39,1.7,292995.95,7.81
539515.78,14.39,1.7,292836.45,7.81
539165.54,14.39,1.7,293023.09,7.82
538972.03,14.39,1.7,292819.82,7.82
539284.59,14.4,1.71,292920.04,7.82
539653.1,14.41,1.72,292680.35,7.82
539490.36,14.41,1.72,292953.62,7.82
539344.45,14.41,1.72,292794.2,7.82
539344.45,14.41,1.72,292794.2,7.82
539409.18,14.41,1.72,292691.01,7.82
539227.93,14.41,1.72,292502.59,7.82
539115.96,14.41,1.72,293259.96,7.84
538957.06,14.41,1.72,292598.08,7.82
538753.46,14.41,1.72,293091.23,7.84
538877.25,14.42,1.72,293164.24,7.84
538587.98,14.41,1.72,292918.32,7.84
538425.24,14.41,1.72,292660.65,7.83
538451.26,14.41,1.72,292547.73,7.83
538288.52,14.41,1.72,292822.3,7.84
538712.56,14.43,1.73,292722.75,7.84
537697.18,14.43,1.74,292239.28,7.84
537515.93,14.43,1.74,292618.54,7.85
537357.03,14.43,1.74,292409.89,7.85
537342.19,14.43,1.74,292608.9,7.86
537230.22,14.43,1.74,292686.68,7.86
536940.94,14.42,1.73,292385.06,7.85
537064.74,14.43,1.74,292403.45,7.86
537064.74,14.43,1.74,292403.45,7.86
537090.77,14.43,1.74,292235.05,7.85
536928.03,14.43,1.74,292425.35,7.86
536782.11,14.43,1.74,292295.91,7.86
537189.32,14.44,1.75,292119.83,7.86
537189.32,14.44,1.75,292119.83,7.86
537008.07,14.44,1.75,292577.5,7.87
536839.08,14.44,1.75,292394.05,7.87
536645.57,14.44,1.75,292503.68,7.87
536769.37,14.45,1.76,292489.07,7.87
536446.76,14.44,1.75,292285.85,7.87
536722.54,14.45,1.76,292050.87,7.86
535707.16,14.46,1.76,291567.39,7.87
534691.77,14.46,1.77,291083.92,7.87
534529.03,14.46,1.77,291462.36,7.88
534383.12,14.46,1.77,291313.14,7.88
534259.08,14.46,1.77,291041.81,7.88
534098.02,14.46,1.77,292021.21,7.91
534221.82,14.47,1.77,292002.13,7.91
534059.08,14.47,1.77,292166.75,7.91
534059.08,14.47,1.77,292166.75,7.91
534245.37,14.47,1.78,291976.68,7.91
534078.43,14.47,1.78,291751.89,7.91
533899.34,14.47,1.78,291104.59,7.89
533720.45,14.47,1.78,291063.3,7.89
533596.41,14.47,1.78,292016.43,7.92
533193.17,14.46,1.77,291593.84,7.91
533093.41,14.46,1.77,291490.97,7.91
533217.21,14.47,1.78,291509.37,7.91
533217.21,14.47,1.78,291509.37,7.91
533054.47,14.47,1.78,291224.41,7.91
532891.73,14.47,1.78,291513.97,7.92
533184.34,14.48,1.79,291394.5,7.91
533025.57,14.48,1.78,291234.12,7.91
532901.53,14.48,1.78,291299.47,7.91
532921.91,14.48,1.79,290641.55,7.9
532835.08,14.48,1.79,290902.94,7.91
531819.69,14.48,1.79,290419.47,7.91
531658.64,14.48,1.79,290292.78,7.91
531479.55,14.48,1.79,290634.53,7.92
531464.71,14.49,1.79,290591.03,7.92
531777.28,14.5,1.81,290691.25,7.93
530761.89,14.5,1.81,290207.78,7.93
530599.15,14.5,1.81,290011.01,7.93
530436.41,14.5,1.81,289809.98,7.92
529816.22,14.5,1.81,289992.37,7.94
529622.71,14.5,1.81,289795.36,7.93
529622.71,14.5,1.81,289795.36,7.93
529476.29,14.5,1.8,289655.37,7.93
529600.09,14.5,1.81,289648.88,7.93
529274.6,14.5,1.81,289350.98,7.93
529567.22,14.51,1.82,289707.77,7.94
529631.94,14.52,1.82,289395.29,7.93
529253.42,14.51,1.82,289386.22,7.93
529072.17,14.51,1.81,289372.56,7.93
528903.18,14.51,1.81,289651.94,7.94
529128.95,14.51,1.82,289759.66,7.95
529441.51,14.53,1.83,289859.88,7.95
529278.77,14.53,1.83,289626.86,7.95
529278.77,14.53,1.83,289626.86,7.95
529278.77,14.53,1.83,289626.86,7.95
529116.03,14.53,1.83,289802.92,7.96
529142.06,14.53,1.84,289663.67,7.95
529223.61,14.54,1.84,289578.45,7.95
529042.36,14.53,1.84,289415.81,7.95
528873.37,14.53,1.84,289966.49,7.97
528873.37,14.53,1.84,289966.49,7.97
529118.39,14.54,1.85,290187.4,7.98
528896.28,14.54,1.84,289956.02,7.97
529208.85,14.55,1.86,290056.24,7.97
529374.11,14.56,1.86,289799.4,7.97
529400.13,14.56,1.87,289677.78,7.97
529400.13,14.56,1.87,289677.78,7.97
529426.16,14.56,1.87,290031.44,7.98
529318.95,14.56,1.87,289893.52,7.98
529318.95,14.56,1.87,289893.52,7.98
529137.7,14.56,1.87,289737.65,7.97
528759.18,14.56,1.86,289394.35,7.97
528759.18,14.56,1.86,289394.35,7.97
528778.95,14.56,1.87,289269.75,7.96
528774.21,14.56,1.87,290388.07,8.0
529086.77,14.57,1.88,290488.29,8.0
529362.56,14.58,1.89,290267.89,8.0
529203.79,14.58,1.89,290101.0,7.99
529041.05,14.58,1.89,290317.05,8.0
528878.31,14.58,1.89,290161.08,8.0
527862.93,14.58,1.89,289677.61,8.0
527944.48,14.59,1.9,289609.62,8.0
527746.48,14.58,1.89,289450.7,8.0
527565.23,14.58,1.89,289269.32,8.0
527565.23,14.58,1.89,289269.32,8.0
527396.24,14.58,1.89,289921.44,8.02
527202.73,14.58,1.89,289813.98,8.02
526824.21,14.57,1.88,289534.27,8.01
527136.77,14.58,1.89,289634.49,8.01
526974.03,14.58,1.89,289316.28,8.01
527258.09,14.59,1.9,289638.72,8.02
527112.18,14.59,1.9,289445.05,8.01
527112.18,14.59,1.9,289445.05,8.01
527176.91,14.6,1.91,289301.69,8.01
527414.93,14.61,1.92,290012.84,8.03
527125.66,14.6,1.91,289803.79,8.03
526956.66,14.6,1.91,289303.48,8.02
526951.92,14.6,1.91,289988.88,8.04
526951.92,14.6,1.91,289988.88,8.04
526753.92,14.6,1.91,289802.62,8.03
526877.72,14.61,1.91,289850.32,8.04
526903.75,14.61,1.92,289680.42,8.03
527069.01,14.62,1.93,289517.58,8.03
526906.27,14.62,1.92,289814.74,8.04
526987.82,14.62,1.93,289697.56,8.04
526995.34,14.63,1.93,289495.46,8.03
527015.11,14.63,1.94,289459.65,8.04
527015.11,14.63,1.94,289459.65,8.04
526821.6,14.63,1.94,290388.22,8.06
526945.4,14.64,1.94,290420.41,8.07
526971.43,14.64,1.95,290255.42,8.06
526808.69,14.64,1.95,290090.64,8.06
526431.89,14.63,1.94,290003.34,8.06
526457.92,14.64,1.94,290299.3,8.07
526457.92,14.64,1.94,290299.3,8.07
526350.71,14.64,1.94,290159.75,8.07
526350.71,14.64,1.94,290159.75,8.07
526000.47,14.63,1.94,290404.62,8.08
526245.48,14.64,1.95,290550.15,8.08
526245.48,14.64,1.95,290550.15,8.08
526206.54,14.65,1.96,290365.99,8.08
525828.01,14.64,1.95,290072.25,8.08
525669.25,14.64,1.95,289920.3,8.07
525379.97,14.63,1.94,289608.35,8.07
525217.23,14.63,1.94,289490.17,8.06
524201.84,14.64,1.94,289006.7,8.07
524003.84,14.63,1.94,288819.28,8.06
524442.67,14.64,1.95,289161.22,8.07
524442.67,14.64,1.95,289161.22,8.07
524335.45,14.64,1.95,288967.08,8.07
524335.45,14.64,1.95,288967.08,8.07
524153.17,14.64,1.95,288825.57,8.07
524153.17,14.64,1.95,288825.57,8.07
524160.69,14.64,1.95,289231.18,8.08
524160.69,14.64,1.95,289231.18,8.08
523991.7,14.64,1.95,289013.69,8.08
523798.19,14.64,1.95,289153.22,8.08
523798.19,14.64,1.95,289153.22,8.08
522782.8,14.65,1.95,288669.75,8.09
522782.8,14.65,1.95,288669.75,8.09
522906.6,14.65,1.96,288701.95,8.09
522743.86,14.65,1.96,288424.58,8.09
522581.12,14.65,1.96,288744.75,8.1
522435.21,14.65,1.96,288419.46,8.09
522749.69,14.66,1.97,288766.37,8.1
522749.69,14.66,1.97,288766.37,8.1
522757.21,14.67,1.98,288564.86,8.1
522598.44,14.66,1.97,288406.55,8.09
522429.45,14.66,1.97,288146.65,8.09
522050.93,14.65,1.96,288470.51,8.1
521857.42,14.65,1.96,288253.33,8.09
521981.22,14.66,1.97,288326.33,8.1
521385.78,14.66,1.97,287932.84,8.1
521204.53,14.66,1.97,288069.97,8.1
521474.07,14.67,1.98,288109.19,8.1
521280.56,14.67,1.98,288229.48,8.11
521280.56,14.67,1.98,288229.48,8.11
521085.22,14.66,1.97,288123.98,8.11
520706.7,14.65,1.96,287724.36,8.1
520830.5,14.66,1.97,287772.07,8.1
521049.77,14.67,1.98,287470.48,8.09
520887.03,14.67,1.98,287809.78,8.11
520913.05,14.67,1.98,287650.18,8.1
520805.84,14.68,1.98,287527.62,8.1
520513.83,14.67,1.98,287764.27,8.11
520332.58,14.67,1.98,287544.67,8.11
520602.12,14.68,1.99,287424.5,8.1
520597.37,14.68,1.99,288152.57,8.13
520721.17,14.69,2.0,288225.58,8.13
520352.65,14.68,1.99,287814.63,8.12
520189.91,14.68,1.99,287531.88,8.11
520215.93,14.68,1.99,287444.04,8.11
520057.17,14.68,1.99,287288.47,8.11
519911.25,14.68,1.99,287689.88,8.12
519787.22,14.68,1.99,287603.25,8.12
519787.22,14.68,1.99,287603.25,8.12
519605.97,14.68,1.99,287297.89,8.12
519729.76,14.69,1.99,287258.72,8.12
519759.64,14.69,2.0,287692.33,8.13
519556.03,14.69,2.0,287432.49,8.13
519418.53,14.69,2.0,287228.34,8.12
519782.83,14.7,2.01,287716.63,8.14
519804.65,14.71,2.01,287471.88,8.13
519804.65,14.71,2.01,287471.88,8.13
519680.61,14.71,2.01,287411.19,8.13
519499.36,14.71,2.01,288206.04,8.16
519529.24,14.71,2.02,287906.18,8.15
519376.71,14.71,2.02,287872.38,8.15
519006.85,14.7,2.01,287578.19,8.15
519130.65,14.71,2.02,287625.9,8.15
519156.67,14.71,2.02,287455.99,8.15
518993.93,14.71,2.02,287280.61,8.14
518831.19,14.71,2.02,287567.97,8.15
518466.77,14.72,2.03,287292.21,8.16
518798.08,14.73,2.04,287186.26,8.15
518616.83,14.73,2.04,286966.73,8.15
518636.61,14.73,2.04,287585.21,8.17
518443.1,14.73,2.04,287562.02,8.17
518524.65,14.74,2.04,287553.12,8.17
518343.4,14.74,2.04,287734.43,8.18
517964.88,14.73,2.03,287388.0,8.17
517984.66,14.73,2.04,287125.28,8.17
517791.15,14.73,2.04,287408.77,8.18
517914.94,14.74,2.05,287456.47,8.18
517914.94,14.74,2.05,287456.47,8.18
517752.2,14.74,2.04,287271.37,8.18
517589.46,14.74,2.04,287104.38,8.17
517589.46,14.74,2.04,287104.38,8.17
517443.55,14.74,2.04,287101.11,8.18
517758.03,14.75,2.06,287204.18,8.18
517765.55,14.75,2.06,287077.39,8.18
516750.17,14.76,2.06,286593.92,8.18
516750.17,14.76,2.06,286593.92,8.18
515734.78,14.76,2.07,286135.96,8.19
515356.26,14.75,2.06,286615.2,8.2
514991.84,14.76,2.07,286383.55,8.21
514832.94,14.76,2.07,286201.23,8.2
514629.34,14.76,2.06,285995.03,8.2
514710.89,14.76,2.07,285916.51,8.2
514496.94,14.76,2.06,285687.22,8.19
514146.7,14.76,2.06,285645.24,8.2
513782.28,14.76,2.07,285343.97,8.2
513588.77,14.76,2.07,285401.24,8.2
513588.77,14.76,2.07,285401.24,8.2
513670.33,14.77,2.07,285392.34,8.2
513489.08,14.77,2.07,285600.34,8.21
513126.58,14.76,2.07,285405.74,8.21
513250.38,14.77,2.08,285453.45,8.22
513526.16,14.78,2.09,285217.01,8.21
513363.42,14.78,2.09,285153.46,8.21
513363.42,14.78,2.09,285153.46,8.21
513363.42,14.78,2.09,285153.46,8.21
513363.42,14.78,2.09,285153.46,8.21
